Date,Affected pages
2026-04-09,74
2026-04-10,77
2026-04-11,77
2026-04-12,77
2026-04-13,78
2026-04-14,78
2026-04-15,78
2026-04-16,78
2026-04-17,74
2026-04-18,74
2026-04-19,74
2026-04-20,77
2026-04-21,77
2026-04-22,77
2026-04-23,77
2026-04-24,77
2026-04-25,77
2026-04-26,77
2026-04-27,80
2026-04-28,80
2026-04-29,80
2026-04-30,80
2026-05-01,81
2026-05-02,81
2026-05-03,81
2026-05-04,94
2026-05-05,94
2026-05-06,94
2026-05-07,94
2026-05-08,142
2026-05-09,142
2026-05-10,142
2026-05-11,158
2026-05-12,158
2026-05-13,158
2026-05-14,158
2026-05-15,184
2026-05-16,184
2026-05-17,184
2026-05-18,223
2026-05-19,223
2026-05-20,223
2026-05-21,223
2026-05-22,237
2026-05-23,237
2026-05-24,237
2026-05-25,238
2026-05-26,238
2026-05-27,238
2026-05-28,238
2026-05-29,238
2026-05-30,238
2026-05-31,238
2026-06-01,241
2026-06-02,241
2026-06-03,241
2026-06-04,241
2026-06-05,241
2026-06-06,241
2026-06-07,241
2026-06-08,243
2026-06-09,243
2026-06-10,243
2026-06-11,243
2026-06-12,287
2026-06-13,287
2026-06-14,287
2026-06-15,287
2026-06-16,287
2026-06-17,287
2026-06-18,287
2026-06-19,287
2026-06-20,287
2026-06-21,287
2026-06-22,287
2026-06-23,287
2026-06-24,287
2026-06-25,287
2026-06-26,287
2026-06-27,287
2026-06-28,287
2026-06-29,287
