Date,Not indexed,Indexed,Impressions
2026-04-08,,,11137
2026-04-09,1293,619,11965
2026-04-10,1291,621,8892
2026-04-11,1291,621,8770
2026-04-12,1291,621,10201
2026-04-13,1314,588,9132
2026-04-14,1314,588,9282
2026-04-15,1314,588,9786
2026-04-16,1314,588,9683
2026-04-17,1327,572,7818
2026-04-18,1327,572,7916
2026-04-19,1327,572,9812
2026-04-20,1349,562,10189
2026-04-21,1349,562,10092
2026-04-22,1349,562,10133
2026-04-23,1349,562,10318
2026-04-24,1367,560,8039
2026-04-25,1367,560,8580
2026-04-26,1367,560,9636
2026-04-27,1561,470,9174
2026-04-28,1561,470,8920
2026-04-29,1561,470,8991
2026-04-30,1561,470,8252
2026-05-01,1560,476,7682
2026-05-02,1560,476,7645
2026-05-03,1560,476,8204
2026-05-04,1639,431,9189
2026-05-05,1639,431,10415
2026-05-06,1639,431,10198
2026-05-07,1639,431,9777
2026-05-08,1629,436,9409
2026-05-09,1629,436,20091
2026-05-10,1629,436,13837
2026-05-11,1665,407,13579
2026-05-12,1665,407,9093
2026-05-13,1665,407,9228
2026-05-14,1665,407,8495
2026-05-15,1668,402,8080
2026-05-16,1668,402,8898
2026-05-17,1668,402,10533
2026-05-18,1694,371,11113
2026-05-19,1694,371,11036
2026-05-20,1694,371,17730
2026-05-21,1694,371,16415
2026-05-22,1703,359,14055
2026-05-23,1703,359,12017
2026-05-24,1703,359,10274
2026-05-25,1708,348,9622
2026-05-26,1708,348,10213
2026-05-27,1708,348,10393
2026-05-28,1708,348,8491
2026-05-29,1715,338,8496
2026-05-30,1715,338,7747
2026-05-31,1715,338,8601
2026-06-01,1722,326,9360
2026-06-02,1722,326,8601
2026-06-03,1722,326,7775
2026-06-04,1722,326,8372
2026-06-05,1723,325,5843
2026-06-06,1723,325,6157
2026-06-07,1723,325,6251
2026-06-08,1722,324,5987
2026-06-09,1722,324,6089
2026-06-10,1722,324,6149
2026-06-11,1722,324,6067
2026-06-12,1765,272,5594
2026-06-13,1765,272,6279
2026-06-14,1765,272,5592
2026-06-15,1765,272,5668
2026-06-16,1765,272,5796
2026-06-17,1765,272,6390
2026-06-18,1765,272,5478
2026-06-19,1765,272,5324
2026-06-20,1765,272,6055
2026-06-21,1765,272,5915
2026-06-22,1765,272,5398
2026-06-23,1765,272,5239
2026-06-24,1765,272,4836
2026-06-25,1765,272,5413
2026-06-26,1765,272,5023
2026-06-27,1765,272,5982
2026-06-28,1765,272,6226
2026-06-29,1765,272,4935
